TYPE,SOURCE,ASSET CLASS,TENOR,OWNER,RISK CENTRE,BASE CCY,QUOTE CCY,BID,OFFER,CATEGORY,,
MM,2,INTEREST,ON,,SIMU,ZAR,,11.03,11.03,Market,0,A
MM,2,INTEREST,TN,,SIMU,ZAR,,11.03,11.03,Market,0,A
MM,2,INTEREST,SN,,SIMU,ZAR,,11.03,11.03,Market,0,A
MM,2,INTEREST,1M,,SIMU,ZAR,,11.3,11.3,Market,0,A
MM,2,INTEREST,3M,,SIMU,ZAR,,11.35,11.35,Market,0,A
MM,2,INTEREST,6M,,SIMU,ZAR,,11.7,11.7,Market,0,A
MM,2,INTEREST,9M,,SIMU,ZAR,,12,12,Market,0,A
MM,2,INTEREST,1Y,,SIMU,ZAR,,12.3,12.3,Market,0,A
MM,2,INTEREST,ON,,SIMU,ZAR,,11.03,11.03,Market,0,A
MM,2,INTEREST,TN,,SIMU,ZAR,,11.03,11.03,Market,0,A
MM,2,INTEREST,SN,,SIMU,ZAR,,11.03,11.03,Market,0,A
FX,2,FXFWD,TN,,SIMU,EUR,GBP,0.000018,0.000019,Market,0,A
FX,2,FXFWD,ON,,SIMU,EUR,DKK,0.000427,0.000523,Market,0,A
MM,2,INTEREST,1M,,SIMU,ZAR,,11.3,11.3,Market,0,A
MM,2,INTEREST,3M,,SIMU,ZAR,,11.35,11.35,Market,0,A
MM,2,INTEREST,6M,,SIMU,ZAR,,11.7,11.7,Market,0,A
MM,2,INTEREST,9M,,SIMU,ZAR,,12,12,Market,0,A
MM,2,INTEREST,1Y,,SIMU,ZAR,,12.3,12.3,Market,0,A
FX,3,FXFWD,1Y,,SIMU,USD,JPY,-2.3297,-2.2542,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
MM,2,INTEREST,10M,,SIMU,EUR,,5.14875,5.27375,Market,0,A
FX,2,FXFWD,TN,,SIMU,EUR,CHF,-0.000037,-0.000032,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SEK,0.002952,0.003095,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
MM,2,INTEREST,10M,,SIMU,JPY,,0.98,1.105,Market,0,A
FX,2,FXFWD,ON,,SIMU,AUD,USD,0.000244,0.000249,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9003,0.90075,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
MM,2,INTEREST,11M,,SIMU,JPY,,1.0075,1.1325,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SEK,0.013207,0.013848,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
MM,2,INTEREST,1Y,,SIMU,JPY,,1.03625,1.16125,Market,0,A
FX,2,FXFWD,TN,,SIMU,AUD,USD,0.000122,0.000124,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,CHF,1.4938,1.494,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.6,109.61,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3895,1.3898,Market,0,A
MM,2,INTEREST,1M,,SIMU,JPY,,0.51375,0.63875,Market,0,A
FX,3,FXFWD,ON,,SIMU,EUR,USD,0.000112,0.000123,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,SEK,0.026066,0.027332,Market,0,A
FX,3,FXFWD,ON,,SIMU,EUR,USD,0.000112,0.000123,Market,0,A
